new_date,state,cases,deaths,percent_uninsured,percent_vaccinated,cases_k,deaths_k,percent_insured
202001,Arizona,6,0.0,12.08,47.0,0.01,0.0,87.92
202001,California,14,0.0,9.2,42.0,0.01,0.0,90.8
202001,Illinois,10,0.0,9.97,45.0,0.01,0.0,90.03
202001,Washington,11,0.0,6.21,49.0,0.01,0.0,93.79
202002,Arizona,29,0.0,12.08,47.0,0.03,0.0,87.92
202002,California,285,0.0,8.34,41.0,0.28,0.0,91.66
202002,Illinois,59,0.0,9.97,45.0,0.06,0.0,90.03
202002,Massachusetts,29,0.0,4.16,48.0,0.03,0.0,95.84
202002,Nebraska,151,0.0,9.98,61.0,0.15,0.0,90.02
202002,Oregon,2,0.0,7.17,47.0,0.0,0.0,92.83
202002,Texas,91,0.0,16.9,38.0,0.09,0.0,83.1
202002,Utah,5,0.0,10.96,49.0,0.0,0.0,89.03999999999999
202002,Washington,60,1.0,6.21,49.0,0.06,0.0,93.79
202002,Wisconsin,25,0.0,5.06,65.0,0.02,0.0,94.94
202003,Alabama,6129,42.0,11.29,41.5,6.13,0.04,88.71000000000001
202003,Alaska,851,8.0,14.11,38.0,0.85,0.01,85.89
202003,Arizona,6830,85.0,12.08,44.5,6.83,0.08,87.92
202003,Arkansas,3807,35.0,8.91,45.0,3.81,0.04,91.09
202003,California,55403,1113.0,7.58,43.0,55.4,1.11,92.42
202003,Colorado,17711,338.0,9.51,51.0,17.71,0.34,90.49
202003,Connecticut,14353,281.0,5.36,54.0,14.35,0.28,94.64
202003,Delaware,1887,31.0,6.41,54.0,1.89,0.03,93.59
202003,District of Columbia,2923,41.0,4.3,38.0,2.92,0.04,95.7
202003,Florida,35584,489.0,15.31,42.0,35.58,0.49,84.69
202003,Georgia,20657,642.0,15.76,45.0,20.66,0.64,84.24
202003,Hawaii,1396,1.0,5.13,37.5,1.4,0.0,94.87
202003,Idaho,2358,34.0,14.01,43.0,2.36,0.03,85.99
202003,Illinois,33095,448.0,6.29,47.0,33.1,0.45,93.71
202003,Indiana,10152,313.0,8.99,49.25,10.15,0.31,91.01
202003,Iowa,2794,26.0,5.42,58.0,2.79,0.03,94.58
202003,Kansas,2408,60.0,9.82,46.0,2.41,0.06,90.18
202003,Kentucky,3085,84.0,6.41,49.0,3.08,0.08,93.59
202003,Louisiana,28771,1127.0,9.68,42.0,28.77,1.13,90.32
202003,Maine,2059,12.0,9.66,45.25,2.06,0.01,90.34
202003,Maryland,8831,84.0,6.26,53.0,8.83,0.08,93.74
202003,Massachusetts,31798,340.0,3.34,52.0,31.8,0.34,96.66
202003,Michigan,38863,967.0,6.19,48.0,38.86,0.97,93.81
202003,Minnesota,4473,43.0,4.62,52.0,4.47,0.04,95.38
202003,Mississippi,5782,88.0,15.17,40.0,5.78,0.09,84.83
202003,Missouri,6465,96.0,10.9,49.5,6.46,0.1,89.1
202003,Montana,1200,11.0,10.08,46.0,1.2,0.01,89.92
202003,Nebraska,1680,13.0,8.78,57.5,1.68,0.01,91.22
202003,Nevada,5794,119.0,12.81,39.5,5.79,0.12,87.19
202003,New Hampshire,2232,17.0,7.43,50.0,2.23,0.02,92.57
202003,New Jersey,73674,1144.0,7.88,50.0,73.67,1.14,92.12
202003,New Mexico,1989,16.0,11.79,41.5,1.99,0.02,88.21000000000001
202003,New York,464981,7445.0,5.34,51.0,464.98,7.44,94.66
202003,North Carolina,8617,32.0,12.93,52.0,8.62,0.03,87.07
202003,North Dakota,787,9.0,8.1,53.0,0.79,0.01,91.9
202003,Ohio,12114,219.0,6.88,49.0,12.11,0.22,93.12
202003,Oklahoma,3069,101.0,15.86,50.0,3.07,0.1,84.14
202003,Oregon,4621,129.0,8.23,43.0,4.62,0.13,91.77
202003,Pennsylvania,23859,267.0,6.51,50.5,23.86,0.27,93.49
202003,Rhode Island,1229,0.0,3.67,50.0,1.23,0.0,96.33
202003,South Carolina,6329,127.0,13.11,48.25,6.33,0.13,86.89
202003,South Dakota,711,22.0,10.72,49.0,0.71,0.02,89.28
202003,Tennessee,11107,28.0,11.04,49.0,11.11,0.03,88.96000000000001
202003,Texas,20623,269.0,17.24,43.5,20.62,0.27,82.76
202003,Utah,5485,11.0,10.12,47.0,5.48,0.01,89.88
202003,Vermont,1784,61.0,5.76,51.0,1.78,0.06,94.24
202003,Virginia,6941,102.0,9.28,51.0,6.94,0.1,90.72
202003,Washington,45135,2377.0,7.59,45.0,45.14,2.38,92.41
202003,West Virginia,866,3.0,7.17,44.5,0.87,0.0,92.83
202003,Wisconsin,9353,135.0,5.43,54.5,9.35,0.14,94.57
202003,Wyoming,776,0.0,14.1,42.5,0.78,0.0,85.9
202004,Alabama,125166,4044.0,11.53,39.0,125.17,4.04,88.47
202004,Alaska,8229,173.0,18.15,33.5,8.23,0.17,81.85
202004,Arizona,128668,4798.0,13.12,38.0,128.67,4.8,86.88
202004,Arkansas,51355,1002.0,8.92,43.0,51.36,1.0,91.08
202004,California,865583,30173.0,7.82,41.0,865.58,30.17,92.18
202004,Colorado,259755,11702.0,10.58,44.0,259.76,11.7,89.42
202004,Connecticut,454259,29675.0,5.28,54.0,454.26,29.68,94.72
202004,Delaware,67115,1840.0,6.41,54.0,67.11,1.84,93.59
202004,District of Columbia,70950,2651.0,4.3,38.0,70.95,2.65,95.7
202004,Florida,671064,19461.0,15.53,39.0,671.06,19.46,84.47
202004,Georgia,439404,17990.0,16.3,42.0,439.4,17.99,83.7
202004,Hawaii,14874,270.0,5.13,37.5,14.87,0.27,94.87
202004,Idaho,45937,1098.0,14.15,37.0,45.94,1.1,85.85
202004,Illinois,798324,32639.0,6.15,44.0,798.32,32.64,93.85
202004,Indiana,292465,16218.0,9.1,48.0,292.46,16.22,90.9
202004,Iowa,83654,1942.0,5.51,53.0,83.65,1.94,94.49
202004,Kansas,55555,2222.0,10.49,39.5,55.56,2.22,89.51
202004,Kentucky,74278,3858.0,6.71,43.5,74.28,3.86,93.29
202004,Louisiana,623561,32370.0,9.79,40.0,623.56,32.37,90.21000000000001
202004,Maine,22240,843.0,11.31,43.0,22.24,0.84,88.69
202004,Maryland,327291,12124.0,6.26,50.5,327.29,12.12,93.74
202004,Massachusetts,962354,42756.0,3.43,52.0,962.35,42.76,96.57
202004,Michigan,812300,59370.0,6.82,43.0,812.3,59.37,93.18
202004,Minnesota,65126,3794.0,5.63,49.0,65.13,3.79,94.37
202004,Mississippi,109721,3972.0,15.28,39.0,109.72,3.97,84.72
202004,Missouri,144245,5056.0,12.44,40.0,144.24,5.06,87.56
202004,Montana,11538,279.0,11.71,39.0,11.54,0.28,88.28999999999999
202004,Nebraska,44843,865.0,9.58,43.5,44.84,0.86,90.42
202004,Nevada,96963,3923.0,12.81,36.0,96.96,3.92,87.19
202004,New Hampshire,36687,997.0,7.45,49.5,36.69,1.0,92.55
202004,New Jersey,2138734,102625.0,7.64,50.0,2138.73,102.62,92.36
202004,New Mexico,49427,1462.0,11.2,40.0,49.43,1.46,88.8
202004,New York,6328973,421099.0,5.31,51.0,6328.97,421.1,94.69
202004,North Carolina,168317,4804.0,13.35,50.0,168.32,4.8,86.65
202004,North Dakota,14825,295.0,9.96,41.0,14.82,0.3,90.03999999999999
202004,Ohio,287164,12517.0,7.01,48.0,287.16,12.52,92.99
202004,Oklahoma,67883,3691.0,18.07,46.5,67.88,3.69,81.93
202004,Oregon,50484,1829.0,8.74,41.0,50.48,1.83,91.26
202004,Pennsylvania,822679,30595.0,6.66,48.0,822.68,30.6,93.34
202004,Rhode Island,95898,1149.0,3.67,50.0,95.9,1.15,96.33
202004,South Carolina,113247,3284.0,13.15,46.0,113.25,3.28,86.85
202004,South Dakota,36231,201.0,10.94,40.0,36.23,0.2,89.06
202004,Tennessee,186502,3731.0,11.83,47.0,186.5,3.73,88.17
202004,Texas,494349,12274.0,20.49,40.0,494.35,12.27,79.51
202004,Utah,82149,613.0,10.64,44.0,82.15,0.61,89.36
202004,Vermont,20909,868.0,5.83,47.0,20.91,0.87,94.17
202004,Virginia,223873,6114.0,11.3,50.0,223.87,6.11,88.7
202004,Washington,319571,16938.0,8.11,42.0,319.57,16.94,91.89
202004,West Virginia,21315,514.0,7.75,40.0,21.32,0.51,92.25
202004,Wisconsin,119648,5402.0,6.61,50.0,119.65,5.4,93.39
202004,Wyoming,10950,82.0,14.46,41.0,10.95,0.08,85.53999999999999
202005,Alabama,372033,14438.0,11.53,39.0,372.03,14.44,88.47
202005,Alaska,12244,243.0,18.28,32.0,12.24,0.24,81.72
202005,Arizona,417110,19862.0,13.12,38.0,417.11,19.86,86.88
202005,Arkansas,145308,3137.0,8.95,43.0,145.31,3.14,91.05
202005,California,2476262,99378.0,7.86,41.0,2476.26,99.38,92.14
202005,Colorado,658973,35578.0,10.58,44.0,658.97,35.58,89.42
202005,Connecticut,1116227,100958.0,5.28,54.0,1116.23,100.96,94.72
202005,Delaware,228104,8367.0,6.41,54.0,228.1,8.37,93.59
202005,District of Columbia,215106,11296.0,4.3,38.0,215.11,11.3,95.7
202005,Florida,1394095,59653.0,15.53,39.0,1394.1,59.65,84.47
202005,Georgia,1064226,48928.0,16.3,42.0,1064.23,48.93,83.7
202005,Hawaii,19430,525.0,5.13,37.5,19.43,0.52,94.87
202005,Idaho,75057,2266.0,14.14,37.0,75.06,2.27,85.86
202005,Illinois,2820373,125228.0,6.16,43.0,2820.37,125.23,93.84
202005,Indiana,857247,52744.0,9.1,48.0,857.25,52.74,90.9
202005,Iowa,440270,10764.0,5.56,50.0,440.27,10.76,94.44
202005,Kansas,241100,5676.0,10.65,38.0,241.1,5.68,89.35
202005,Kentucky,234575,10844.0,6.74,43.0,234.58,10.84,93.26
202005,Louisiana,1056326,73038.0,9.79,40.0,1056.33,73.04,90.21000000000001
202005,Maine,52086,2180.0,11.51,42.5,52.09,2.18,88.49
202005,Maryland,1190472,56834.0,6.26,50.5,1190.47,56.83,93.74
202005,Massachusetts,2571693,170695.0,3.43,52.0,2571.69,170.7,96.57
202005,Michigan,1554671,148877.0,6.85,43.0,1554.67,148.88,93.15
202005,Minnesota,467866,21682.0,5.71,48.0,467.87,21.68,94.29
202005,Mississippi,344072,15804.0,15.28,39.0,344.07,15.8,84.72
202005,Missouri,334497,17904.0,12.59,40.0,334.5,17.9,87.41
202005,Montana,14576,502.0,11.72,38.5,14.58,0.5,88.28
202005,Nebraska,303987,3826.0,9.97,40.0,303.99,3.83,90.03
202005,Nevada,213155,10563.0,12.63,35.0,213.16,10.56,87.37
202005,New Hampshire,108419,5085.0,7.45,49.5,108.42,5.08,92.55
202005,New Jersey,4444435,308934.0,7.64,50.0,4444.44,308.93,92.36
202005,New Mexico,177946,7731.0,10.81,39.0,177.95,7.73,89.19
202005,New York,10850463,854088.0,5.31,51.0,10850.46,854.09,94.69
202005,North Carolina,573602,20390.0,13.42,50.0,573.6,20.39,86.58
202005,North Dakota,57772,1315.0,9.84,42.0,57.77,1.32,90.16
202005,Ohio,847508,49709.0,7.01,48.0,847.51,49.71,92.99
202005,Oklahoma,160500,8877.0,18.2,46.0,160.5,8.88,81.8
202005,Oregon,108485,4161.0,8.74,41.0,108.48,4.16,91.26
202005,Pennsylvania,1994490,134069.0,6.66,48.0,1994.49,134.07,93.34
202005,Rhode Island,331406,12906.0,3.67,50.0,331.41,12.91,96.33
202005,South Carolina,269994,11736.0,13.15,46.0,269.99,11.74,86.85
202005,South Dakota,118915,1278.0,11.29,39.0,118.92,1.28,88.71000000000001
202005,Tennessee,533614,8841.0,11.84,47.0,533.61,8.84,88.16
202005,Texas,1463433,40047.0,20.71,39.0,1463.43,40.05,79.28999999999999
202005,Utah,221392,2388.0,10.96,44.0,221.39,2.39,89.03999999999999
202005,Vermont,28888,1651.0,5.83,47.0,28.89,1.65,94.17
202005,Virginia,925411,30685.0,11.32,50.0,925.41,30.68,88.68
202005,Washington,594493,30824.0,8.11,42.0,594.49,30.82,91.89
202005,West Virginia,47440,1951.0,7.8,39.0,47.44,1.95,92.2
202005,Wisconsin,391353,13922.0,6.73,50.0,391.35,13.92,93.27
202005,Wyoming,22780,300.0,14.46,41.0,22.78,0.3,85.53999999999999
202006,Alabama,800287,23697.0,11.53,39.0,800.29,23.7,88.47
202006,Alaska,22830,291.0,18.35,31.5,22.83,0.29,81.65
202006,Arizona,1297231,37510.0,13.12,38.0,1297.23,37.51,86.88
202006,Arkansas,388615,5895.0,8.95,43.0,388.62,5.9,91.05
202006,California,4905111,155690.0,7.84,41.0,4905.11,155.69,92.16
202006,Colorado,886415,48035.0,10.58,44.0,886.42,48.04,89.42
202006,Connecticut,1340561,125396.0,5.28,54.0,1340.56,125.4,94.72
